celltype,p_value,mean_AD-CAA,mean_Control,n_AD-CAA,n_Control,q_BH
OPC2,5.271447842244101e-16,0.005664249408,0.002001822337333333,145,45,2.4248660074322864e-14
InhNeuron2,2.0266077565227782e-14,0.0058580015648275864,0.0022439798895555556,145,45,4.66119784000239e-13
OPC3,4.364893670118246e-14,0.005676348309241379,0.002074669476222222,145,45,6.692836960847977e-13
Oligodendrocytes4,5.406646579025859e-14,0.008373322862482758,0.0023369135000000005,145,45,6.217643565879738e-13
Astrocytes3,5.669427857196224e-14,0.0073594554,0.0023875073568888888,145,45,5.215873628620526e-13
Oligodendrocytes3,1.2338121638871817e-13,0.007838703571379311,0.0028610816182222222,145,45,9.459226589801726e-13
OPC1,2.657541085224924e-13,0.006314470027172413,0.0022126277499999996,145,45,1.7463841417192357e-12
Oligodendrocytes8,6.494213743266868e-13,0.017000403606206894,0.006434495944444444,145,45,3.7341729023784485e-12
InhNeuron5,1.0444458202949709e-12,0.005044045415172413,0.0022280519653333337,145,45,5.3382786370631846e-12
ExNeuron13,1.1174238373720438e-12,0.005562141935172413,0.0022714801942222223,145,45,5.1401496519114014e-12
InhNeuron3,1.5996723592273422e-12,0.0045788139806896555,0.0019528034162222226,145,45,6.6895389567688856e-12
ExNeuron14,1.9993110277709016e-12,0.006547779247586207,0.0027683397133333332,145,45,7.664025606455124e-12
InhNeuron4,2.0902630897040346e-12,0.005057167730344828,0.002133134992444445,145,45,7.396315548183507e-12
Oligodendrocytes5,3.114205482687298e-12,0.015090740610758617,0.0035235594617777774,145,45,1.0232389443115408e-11
ExNeuron11,3.4012895170629904e-12,0.00605919182,0.002680702124444445,145,45,1.0430621185659837e-11
Fibroblast,9.07722436831001e-12,0.44957729937931035,0.6370667224444444,145,45,2.6097020058891277e-11
InhNeuron1,9.477795539748847e-12,0.00504911084,0.002110387217111111,145,45,2.5645799695790997e-11
VLMC2,9.68452480612596e-12,0.010138742519310346,0.0036340662466666663,145,45,2.4749341171210783e-11
ExNeuron12,9.895669786989484e-12,0.005757211349655173,0.002372832528222222,145,45,2.395793737902717e-11
ExNeuron5,1.0786280159536903e-11,0.004732949268275862,0.0020472820322222224,145,45,2.4808444366934877e-11
Astrocytes1,1.4881156944309474e-11,0.013043258235586207,0.002318367034,145,45,3.2596819973249324e-11
Microglia5,4.958292265629852e-11,0.042641324367586206,0.013575754766666668,145,45,1.0367338373589691e-10
ExNeuron10,7.20490523280402e-11,0.004617653360137932,0.0019298931891111118,145,45,1.440981046560804e-10
Microglia4,7.988680662280112e-11,0.010109990768275862,0.003040267356888889,145,45,1.5311637936036883e-10
Microglia3,1.254830233539372e-10,0.006979043311034483,0.003492008574666666,145,45,2.3088876297124447e-10
ExNeuron2,1.773240383956589e-10,0.004359564991724138,0.0019286663982222224,145,45,3.137271448538581e-10
Astrocytes5,4.3712246815509475e-10,0.014260663673793104,0.0028135690944444446,145,45,7.447271679679392e-10
Microglia1,6.881408185485228e-10,0.00929143197448276,0.003546122036444444,145,45,1.1305170590440018e-09
ExNeuron9,1.2344750214972116e-09,0.006573921980689655,0.0026823855604444446,145,45,1.958132792719715e-09
Astrocytes4,2.113737637927767e-09,0.008532168534965516,0.0031756568915555553,145,45,3.2410643781559096e-09
ExNeuron8,2.9194400760860902e-09,0.0049608053276551725,0.002081849584666667,145,45,4.332072370966456e-09
SMC,1.0152391225700524e-08,0.009746636866482758,0.00500357574888889,145,45,1.4594062386944504e-08
VLMC1,2.0569061210927456e-08,0.009909473348965518,0.003761339940888889,145,45,2.8672024718262513e-08
Microglia2,2.4160161909115732e-08,0.008599569909655172,0.004458458527777778,145,45,3.268727787703893e-08
ExNeuron7,8.089965748018428e-08,0.007084862166620689,0.0026089060555555556,145,45,1.0632526411681362e-07
Oligodendrocytes6,1.1007345488865476e-07,0.014261653611448277,0.004086768432888889,145,45,1.4064941457994776e-07
ExNeuron1,1.953026751044721e-07,0.012163987106206897,0.0033793542111111106,145,45,2.428087312109653e-07
Oligodendrocytes7,8.458385008365813e-07,0.022215515256551722,0.0067007362675555555,145,45,1.0239097641705985e-06
Oligodendrocytes1,8.87038359961121e-07,0.021664809316137932,0.007001100806000001,145,45,1.0462503732874761e-06
Astrocytes2,1.3987254778546412e-06,0.022870620716068966,0.007149823555555555,145,45,1.6085342995328375e-06
ExNeuron6,7.99803177526745e-06,0.015097561108275863,0.004960640986444445,145,45,8.973401503958602e-06
Pericytes,8.114761158212806e-06,0.012875986339310346,0.008952795310444444,145,45,8.887595554233072e-06
Endothelial,0.00012382458989118017,0.02014541467724138,0.011785888302222223,145,45,0.00013246351476730903
ExNeuron4,0.0024573749380018975,0.028010006394551725,0.016596459691555557,145,45,0.0025690737988201657
ExNeuron3,0.006750039902308166,0.04013225275096552,0.025360338833999997,145,45,0.0069000407890261245
Oligodendrocytes2,0.9356977516638432,0.04257166374206897,0.16026680999644444,145,45,0.9356977516638432
