method,lineage,n_comparable,method_fraction_nonzero,spearman_rho,pearson_r,mean_abs_difference,mean_comparison_method,mean_baseline
DWLS,OPC,190,0.9947368421052631,0.46713205351948806,0.39523348297856786,0.007467530491273059,0.010397536347621984,0.014963132648947369
DWLS,VLMC,190,1,0.34045060294715845,0.1383684861046566,0.0163591768044896,0.024522979852852005,0.017051497786
DWLS,Pericytes,190,0.9947368421052631,0.32577167176230276,0.21345854473985384,0.011164302889472986,0.011548730356991043,0.01194680951668421
DWLS,Astrocytes,190,1,0.3062219247945343,0.38490715207871173,0.060675431089352354,0.11223113862942662,0.054645345938
DWLS,Microglia,190,1,0.28407930821818944,0.1847638893610841,0.09092131808430463,0.15194000762754747,0.06589560397268421
DWLS,SMC,190,1,0.28385011394104803,0.2686834262008402,0.04607002608337609,0.05468860962891395,0.008623280286
DWLS,Excitatory neurons,190,1,0.23998127955140902,0.3583857350942483,0.26650774268175237,0.3990397559801048,0.13318839356184212
DWLS,Endothelial,190,1,0.027554925708687075,0.07334532591351879,0.09384739148650519,0.10879989190611992,0.018165526851578948
DWLS,Oligodendrocytes,190,1,0.0034247923473605477,-0.15355612396029886,0.1292349601779807,0.04006118395434501,0.15948396734157894
DWLS,Fibroblast,190,1,-0.3261915696746228,-0.4611750144674362,0.47058471598020846,0.023397973072423105,0.4939826890526316
DWLS,Inhibitory neurons,190,1,-0.34611222646494066,-0.3950786595554394,0.06141068855590767,0.06337219264365405,0.022053743782263158
SpatialDecon,Excitatory neurons,177,0.6779661016949152,0.9006880043687349,0.9000250627364963,0.20955662710634176,0.31451907601890405,0.13318839356184212
SpatialDecon,Oligodendrocytes,177,0.8983050847457628,0.8967181232282253,0.8839237677248036,0.2151345317054934,0.3740569614892641,0.15948396734157894
SpatialDecon,Astrocytes,177,0.7627118644067796,0.7546301733982733,0.45875264947878774,0.04781164865888871,0.08247573624740089,0.054645345938
SpatialDecon,Endothelial,177,0.8135593220338984,0.6532453604565744,0.7117357603238319,0.11858684763558586,0.13625603325619093,0.018165526851578948
SpatialDecon,Microglia,177,0.6949152542372882,0.5991707279999408,0.5772855593143721,0.049191858137024286,0.06748350012044889,0.06589560397268421
SpatialDecon,SMC,177,0.15819209039548024,0.31768788100346607,0.21312867052653925,0.01626040390298602,0.011009046177909133,0.008623280286
SpatialDecon,Pericytes,177,0.0847457627118644,0.2990171624620273,0.1936679293125312,0.012745586100857043,0.0024162888458470386,0.01194680951668421
SpatialDecon,Fibroblast,177,0.03389830508474576,0.25387022052113595,0.24745974613007432,0.46976375044355667,0.0034276809688727067,0.4939826890526316
SpatialDecon,VLMC,177,0.02824858757062147,0.176248876501209,-0.007527377518170092,0.022665685563964925,0.006203904362093907,0.017051497786
SpatialDecon,OPC,177,0.005649717514124294,0.1239216650531758,0.2103398948310281,0.015279982828263915,1.8561906199362373e-5,0.014963132648947369
SpatialDecon,Inhibitory neurons,177,0.011299435028248588,-0.06777939272308857,-0.032510505649055284,0.024024304161275826,0.0021332106068690454,0.022053743782263158
