Control_label,best_AD_label,best_rho,same_name_best_match
Astrocytes1,Astrocytes1,0.9990076991235116,True
Astrocytes2,Astrocytes2,0.9982730538548968,True
Astrocytes3,Astrocytes3,0.9986254433494969,True
Astrocytes4,Astrocytes4,0.9983016675914712,True
Astrocytes5,Astrocytes5,0.9986578487661877,True
Endothelial,Endothelial,0.9982808227782038,True
ExNeuron1,ExNeuron1,0.9992009258263586,True
ExNeuron10,ExNeuron10,0.9990968588429596,True
ExNeuron11,ExNeuron11,0.997389772508298,True
ExNeuron12,ExNeuron12,0.9989418052334684,True
ExNeuron13,ExNeuron13,0.9989593858560442,True
ExNeuron14,ExNeuron14,0.9977275863491304,True
ExNeuron2,ExNeuron2,0.9987689473554314,True
ExNeuron3,ExNeuron3,0.9988882771534595,True
ExNeuron4,ExNeuron4,0.9986844040191941,True
ExNeuron5,ExNeuron5,0.9992971160132103,True
ExNeuron6,ExNeuron6,0.9991336230722951,True
ExNeuron7,ExNeuron7,0.998912487710093,True
ExNeuron8,ExNeuron8,0.998907928210237,True
ExNeuron9,ExNeuron9,0.9986940510614343,True
Fibroblast,Fibroblast,0.9867192286865857,True
InhNeuron1,InhNeuron1,0.9990388556983292,True
InhNeuron2,InhNeuron2,0.9988086997805862,True
InhNeuron3,InhNeuron3,0.9990971875825323,True
InhNeuron4,InhNeuron4,0.9986199515720698,True
InhNeuron5,InhNeuron5,0.9986707149544475,True
Microglia1,Microglia1,0.9989017462947786,True
Microglia2,Microglia2,0.9980001282350541,True
Microglia3,Microglia3,0.9976600590904371,True
Microglia4,Microglia4,0.99842240168084,True
Microglia5,Microglia5,0.9940752351142705,True
OPC1,OPC1,0.9989186877405741,True
OPC2,OPC2,0.9984779636919497,True
OPC3,OPC3,0.998640472089105,True
Oligodendrocytes1,Oligodendrocytes1,0.9995302950031295,True
Oligodendrocytes2,Oligodendrocytes2,0.9993612922313673,True
Oligodendrocytes3,Oligodendrocytes3,0.9969204663678789,True
Oligodendrocytes4,Oligodendrocytes4,0.9986286493355143,True
Oligodendrocytes5,Oligodendrocytes5,0.9961796264827313,True
Oligodendrocytes6,Oligodendrocytes6,0.9978291736837532,True
Oligodendrocytes7,Oligodendrocytes7,0.9991560159012446,True
Oligodendrocytes8,Oligodendrocytes8,0.9951885853450244,True
Pericytes,Pericytes,0.9973099875704148,True
SMC,SMC,0.9965286024632057,True
VLMC1,VLMC1,0.9969877252683887,True
VLMC2,VLMC2,0.9966795007109162,True
